LoanId, EquipmentID, StudentID, Qty, LoanDate, ReturnDate
1, 2, 1, 2, 2022-02-14, 2022-02-16
2, 1, 1, 1, 2022-02-15, 2022-02-17
3, 5, 6, 3, 2022-02-21, 2022-02-23
4, 5, 6, 1, 2022-02-21, 2022-02-24
7, 6, 2, 2, 2022-02-22, 2022-02-25
8, 3, 1, 1, 2022-03-01, 2022-03-03
9, 5, 2, 2, 2022-04-14, 2022-04-16
10, 1, 1, 1, 2022-04-15, 2022-04-17
11, 5, 6, 2, 2022-04-21, 2022-04-23
12, 4, 6, 1, 2022-04-21, 2022-04-23
13, 6, 2, 2, 2022-04-22, 2022-04-24
14, 3, 4, 1, 2022-05-02, 2022-05-04
15, 2, 5, 3, 2022-05-14, 2022-05-16
16, 1, 1, 1, 2022-05-15, 2022-05-17
17, 4, 6, 2, 2022-05-21, 2022-05-23
18, 5, 3, 2, 2022-05-22, 2022-05-24
19, 6, 2, 1, 2022-05-22, 2022-05-24
20, 3, 3, 4, 2022-06-01, 2022-06-03
