studentID,dishID,orderTime,orderDate,quantity
AISY457S,10,11:30,2025-07-01,2
NGPE568T,12,12:05,2025-07-01,1
DEEP679U,8,13:15,2025-07-02,4
TEOH780V,17,11:50,2025-07-02,2
LAUR891W,3,12:10,2025-07-04,2
TANY902X,22,13:00,2025-07-03,1
AMIR013Y,10,12:20,2025-07-04,4
CHEW124Z,1,11:45,2025-07-04,2
TANM235A,14,12:35,2025-07-05,1
CHAN346B,7,12:55,2025-07-05,1
NURU567A,25,13:25,2025-07-06,3
LOWJ678B,9,11:40,2025-07-06,2
TOHP789C,16,12:00,2025-07-07,1
JASO890D,28,12:30,2025-07-07,1
CHAN346B,25,13:00,2025-07-04,1
FOOM901E,4,13:10,2025-07-04,2
FARA012F,25,11:55,2025-07-08,6
ANJA123G,6,12:45,2025-07-09,1
KHAI234H,13,12:15,2025-07-09,1
HENG345J,19,12:50,2025-07-10,3
DIVY456K,23,12:25,2025-07-10,2
LIMZ457W,2,13:05,2025-07-11,1
GOHW568X,25,11:35,2025-07-11,1
ADIL679Y,19,12:40,2025-07-12,2
TOHE780Z,26,13:20,2025-07-12,2
NGLI891A,18,12:50,2025-07-13,1
PRAV902B,21,11:30,2025-07-13,1
SITI013C,30,13:00,2025-07-14,5
RAVI124D,15,12:10,2025-07-14,2
LIEW235E,27,12:45,2025-07-15,1
SIMP346F,19,13:15,2025-07-15,3
AISY457S,22,13:00,2025-07-04,4
